File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\elearning\libs\css\bootstrap.min.css,6,1,1515,0,0,1,5,32,4,29
C:\xampp\htdocs\elearning\libs\phpqrcode\phpqrcode.php,3313,2160,1459,449,658,70,495,2814,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrbitstream.php,181,113,78,33,35,0,33,187,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrconfig.php,17,8,7,0,4,7,5,106,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrconst.php,54,18,15,0,8,0,28,188,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrencode.php,503,357,270,65,96,2,50,215,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrimage.php,95,54,40,7,16,0,25,165,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrinput.php,729,515,356,132,151,0,63,219,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrlib.php,44,13,12,0,5,0,26,187,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrmask.php,329,234,170,45,58,0,37,190,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrrscode.php,210,126,101,29,35,15,49,383,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrspec.php,592,417,211,55,90,34,85,443,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrsplit.php,311,219,142,68,50,12,42,280,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrtools.php,172,109,69,15,32,0,31,170,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\bindings\tcpdf\qrcode.php,2876,1688,1191,395,212,136,976,4740,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\tools\merge.php,70,32,17,0,13,1,25,184,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\tools\merged_config.php,17,8,7,0,4,7,5,106,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\tools\merged_header.php,36,1,0,0,3,0,32,228,0,0
C:\xampp\htdocs\elearning\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.css,400,320,242,0,54,2,26,77,8,32
